id,ticker,strike,expiry,price,size,date
1000429,AAPL,170,2024-01-12,0.4,100,2023-12-01
1000430,AAPL,175,2024-01-12,0.58,100,2023-12-01
1000431,AAPL,180,2024-01-12,0.97,100,2023-12-01
1000432,AAPL,185,2024-01-12,1.86,100,2023-12-01
1000433,AAPL,190,2024-01-12,3.35,100,2023-12-01
1000434,AAPL,195,2024-01-12,5.8,100,2023-12-01
1000435,AAPL,200,2024-01-12,9.45,100,2023-12-01
1000436,AAPL,205,2024-01-12,14.55,100,2023-12-01
1000437,AAPL,210,2024-01-12,19.5,100,2023-12-01
1000438,AAPL,215,2024-01-12,24.5,100,2023-12-01
1000439,AAPL,220,2024-01-12,29.4,100,2023-12-01
1000440,AAPL,225,2024-01-12,34.45,100,2023-12-01
1000441,AAPL,230,2024-01-12,39.55,100,2023-12-01
1000442,AAPL,235,2024-01-12,44.55,100,2023-12-01
1000443,AAPL,240,2024-01-12,49.55,100,2023-12-01
1000444,AAPL,245,2024-01-12,54.55,100,2023-12-01
1000445,AAPL,250,2024-01-12,59.35,100,2023-12-01
1000446,AAPL,255,2024-01-12,64.55,100,2023-12-01
1000447,AAPL,260,2024-01-12,69.35,100,2023-12-01
1000448,AAPL,265,2024-01-12,74.55,100,2023-12-01
1000449,AAPL,120,2024-01-19,0.05,100,2023-12-01
1000450,AAPL,125,2024-01-19,0.07,100,2023-12-01
1000451,AAPL,130,2024-01-19,0.09,100,2023-12-01
1000452,AAPL,135,2024-01-19,0.1,100,2023-12-01
1000453,AAPL,140,2024-01-19,0.11,100,2023-12-01
1000454,AAPL,145,2024-01-19,0.13,100,2023-12-01
1000455,AAPL,150,2024-01-19,0.15,100,2023-12-01
1000456,AAPL,155,2024-01-19,0.18,100,2023-12-01
1000457,AAPL,160,2024-01-19,0.23,100,2023-12-01
1000458,AAPL,165,2024-01-19,0.3,100,2023-12-01
1000459,AAPL,170,2024-01-19,0.43,100,2023-12-01
1000460,AAPL,175,2024-01-19,0.67,100,2023-12-01
1000461,AAPL,180,2024-01-19,1.12,100,2023-12-01
1000462,AAPL,185,2024-01-19,1.99,100,2023-12-01
1000463,AAPL,190,2024-01-19,3.5,100,2023-12-01
1000464,AAPL,195,2024-01-19,5.85,100,2023-12-01
1000465,AAPL,200,2024-01-19,9.45,100,2023-12-01
1000466,AAPL,205,2024-01-19,14.05,100,2023-12-01
1000467,AAPL,210,2024-01-19,19,100,2023-12-01
1000468,AAPL,215,2024-01-19,24.05,100,2023-12-01
1000469,AAPL,220,2024-01-19,29,100,2023-12-01
1000470,AAPL,225,2024-01-19,34,100,2023-12-01
1000471,AAPL,230,2024-01-19,39,100,2023-12-01
1000472,AAPL,235,2024-01-19,44,100,2023-12-01
1000473,AAPL,240,2024-01-19,49,100,2023-12-01
1000474,AAPL,245,2024-01-19,54,100,2023-12-01
1000475,AAPL,250,2024-01-19,59,100,2023-12-01
1000476,AAPL,255,2024-01-19,64,100,2023-12-01
1000477,AAPL,260,2024-01-19,69.05,100,2023-12-01
1000478,AAPL,265,2024-01-19,74,100,2023-12-01
1000479,AAPL,270,2024-01-19,79,100,2023-12-01
1000480,AAPL,275,2024-01-19,84,100,2023-12-01
1000481,AAPL,280,2024-01-19,89,100,2023-12-01
1000515,AAPL,120,2024-02-16,0.13,100,2023-12-01
1000516,AAPL,125,2024-02-16,0.14,100,2023-12-01
1000517,AAPL,130,2024-02-16,0.17,100,2023-12-01
1000518,AAPL,135,2024-02-16,0.21,100,2023-12-01
1000519,AAPL,140,2024-02-16,0.26,100,2023-12-01
1000520,AAPL,145,2024-02-16,0.31,100,2023-12-01
1000521,AAPL,150,2024-02-16,0.4,100,2023-12-01
1000522,AAPL,155,2024-02-16,0.52,100,2023-12-01
1000523,AAPL,160,2024-02-16,0.69,100,2023-12-01
1000524,AAPL,165,2024-02-16,0.94,100,2023-12-01
1000525,AAPL,170,2024-02-16,1.32,100,2023-12-01
1000526,AAPL,175,2024-02-16,1.89,100,2023-12-01
1000527,AAPL,180,2024-02-16,2.73,100,2023-12-01
1000528,AAPL,185,2024-02-16,3.95,100,2023-12-01
1000529,AAPL,190,2024-02-16,5.6,100,2023-12-01
1000530,AAPL,195,2024-02-16,7.85,100,2023-12-01
1000531,AAPL,200,2024-02-16,10.9,100,2023-12-01
1000532,AAPL,205,2024-02-16,14.8,100,2023-12-01
1000533,AAPL,210,2024-02-16,19.15,100,2023-12-01
1000534,AAPL,215,2024-02-16,24.25,100,2023-12-01
1000535,AAPL,220,2024-02-16,29.25,100,2023-12-01
1000536,AAPL,225,2024-02-16,34.25,100,2023-12-01
1000537,AAPL,230,2024-02-16,39.25,100,2023-12-01
1000538,AAPL,235,2024-02-16,44.25,100,2023-12-01
1000539,AAPL,240,2024-02-16,49.25,100,2023-12-01
1000540,AAPL,245,2024-02-16,54.25,100,2023-12-01
1000541,AAPL,250,2024-02-16,59.25,100,2023-12-01
1000542,AAPL,255,2024-02-16,64.25,100,2023-12-01
1000543,AAPL,260,2024-02-16,69.25,100,2023-12-01
1000544,AAPL,265,2024-02-16,74.25,100,2023-12-01
1000545,AAPL,270,2024-02-16,79.25,100,2023-12-01
1000546,AAPL,275,2024-02-16,84.25,100,2023-12-01
1000547,AAPL,280,2024-02-16,89.25,100,2023-12-01
1000581,AAPL,120,2024-03-15,0.19,100,2023-12-01
1000582,AAPL,125,2024-03-15,0.23,100,2023-12-01
1000583,AAPL,130,2024-03-15,0.28,100,2023-12-01
1000584,AAPL,135,2024-03-15,0.34,100,2023-12-01
1000585,AAPL,140,2024-03-15,0.41,100,2023-12-01
1000586,AAPL,145,2024-03-15,0.51,100,2023-12-01
1000587,AAPL,150,2024-03-15,0.65,100,2023-12-01
1000588,AAPL,155,2024-03-15,0.83,100,2023-12-01
1000589,AAPL,160,2024-03-15,1.09,100,2023-12-01
1000590,AAPL,165,2024-03-15,1.44,100,2023-12-01
1000591,AAPL,170,2024-03-15,1.94,100,2023-12-01
1000592,AAPL,175,2024-03-15,2.64,100,2023-12-01
1000593,AAPL,180,2024-03-15,3.6,100,2023-12-01
1000594,AAPL,185,2024-03-15,4.9,100,2023-12-01
1000595,AAPL,190,2024-03-15,6.55,100,2023-12-01
1000596,AAPL,195,2024-03-15,8.75,100,2023-12-01
1000597,AAPL,200,2024-03-15,11.6,100,2023-12-01
1000598,AAPL,205,2024-03-15,14.95,100,2023-12-01
1000599,AAPL,210,2024-03-15,19.3,100,2023-12-01
1000600,AAPL,215,2024-03-15,24.35,100,2023-12-01
1000601,AAPL,220,2024-03-15,29.4,100,2023-12-01
1000602,AAPL,225,2024-03-15,34.3,100,2023-12-01
1000603,AAPL,230,2024-03-15,39.3,100,2023-12-01
1000604,AAPL,235,2024-03-15,44.35,100,2023-12-01
1000605,AAPL,240,2024-03-15,49.4,100,2023-12-01
1000606,AAPL,245,2024-03-15,54.35,100,2023-12-01
1000607,AAPL,250,2024-03-15,59.25,100,2023-12-01
1000608,AAPL,255,2024-03-15,64.4,100,2023-12-01
1000609,AAPL,260,2024-03-15,69.4,100,2023-12-01
1000610,AAPL,265,2024-03-15,74.3,100,2023-12-01
1000611,AAPL,270,2024-03-15,79.35,100,2023-12-01
1000612,AAPL,275,2024-03-15,84.35,100,2023-12-01
1000613,AAPL,280,2024-03-15,89.4,100,2023-12-01
1000647,AAPL,120,2024-04-19,0.29,100,2023-12-01
1000648,AAPL,125,2024-04-19,0.35,100,2023-12-01
1000649,AAPL,130,2024-04-19,0.42,100,2023-12-01
1000650,AAPL,135,2024-04-19,0.51,100,2023-12-01
1000651,AAPL,140,2024-04-19,0.64,100,2023-12-01
1000652,AAPL,145,2024-04-19,0.79,100,2023-12-01
1000653,AAPL,150,2024-04-19,1.01,100,2023-12-01
1000654,AAPL,155,2024-04-19,1.27,100,2023-12-01
1000655,AAPL,160,2024-04-19,1.62,100,2023-12-01
1000656,AAPL,165,2024-04-19,2.1,100,2023-12-01
1000657,AAPL,170,2024-04-19,2.74,100,2023-12-01
1000658,AAPL,175,2024-04-19,3.55,100,2023-12-01
1000659,AAPL,180,2024-04-19,4.65,100,2023-12-01
1000660,AAPL,185,2024-04-19,6,100,2023-12-01
1000661,AAPL,190,2024-04-19,7.65,100,2023-12-01
1000662,AAPL,195,2024-04-19,9.8,100,2023-12-01
1000663,AAPL,200,2024-04-19,12.55,100,2023-12-01
1000664,AAPL,205,2024-04-19,15.7,100,2023-12-01
1000665,AAPL,210,2024-04-19,19.9,100,2023-12-01
1000666,AAPL,215,2024-04-19,24.45,100,2023-12-01
1000667,AAPL,220,2024-04-19,29.5,100,2023-12-01
1000668,AAPL,225,2024-04-19,34.3,100,2023-12-01
1000669,AAPL,230,2024-04-19,39.3,100,2023-12-01
1000670,AAPL,235,2024-04-19,44.4,100,2023-12-01
1000671,AAPL,240,2024-04-19,49.5,100,2023-12-01
1000672,AAPL,245,2024-04-19,55.05,100,2023-12-01
1000673,AAPL,250,2024-04-19,59.4,100,2023-12-01
1000674,AAPL,255,2024-04-19,64.3,100,2023-12-01
1000675,AAPL,260,2024-04-19,69.35,100,2023-12-01
1000676,AAPL,265,2024-04-19,74.45,100,2023-12-01
1000677,AAPL,270,2024-04-19,79.25,100,2023-12-01
1000678,AAPL,275,2024-04-19,84.6,100,2023-12-01
1000679,AAPL,280,2024-04-19,89.5,100,2023-12-01
1000713,AAPL,120,2024-06-21,0.58,100,2023-12-04
1000714,AAPL,125,2024-06-21,0.71,100,2023-12-04
1000715,AAPL,130,2024-06-21,0.87,100,2023-12-04
1000716,AAPL,135,2024-06-21,1.06,100,2023-12-04
1000717,AAPL,140,2024-06-21,1.31,100,2023-12-04
